203  -11.6	ZINC000003287099
204  -11.4	ZINC000006180977
205  34.9	ZINC000097962710
206  -13.4	ZINC000033357966
207  -9.9	ZINC000033453707
208  -10.3	ZINC000035977608
209  -11.2	ZINC000036146616
210  -11.6	ZINC000037605323
211  -12.1	ZINC000101085977
212  -13.1	ZINC000226931832
213  -11.3	ZINC000000710158
214  -12.3	ZINC000006173411
215  -11.6	ZINC000008583533
216  -10.2	ZINC000008919529
217  -11.1	ZINC000013365602
218  -12.5	ZINC000013811293
219  -11.6	ZINC000013936208
220  -10.6	ZINC000019994970
221  -11.3	ZINC000096292305
222  -10.8	ZINC000098017017
223  -10.1	ZINC000100426557
224  -9.8	ZINC000101556408
226  -12.0	ZINC000105990184
227  -10.7	ZINC000247922796
229  -10.2	ZINC000004855180
230  -9.1	ZINC000016305786
231  -9.7	ZINC000028332659
232  -9.7	ZINC000040127768
233  -11.4	ZINC000055134254
234  -9.8	ZINC000016993964
235  -9.9	ZINC000004034876
236  -10.1	ZINC000036619030
237  -10.2	ZINC000067601818
238  -11.4	ZINC000012754765
239  -10.3	ZINC000015364835
240  -10.7	ZINC000023873003
241  -11.1	ZINC000034910959
242  -9.9	ZINC000019852104
243  -10.5	ZINC000095477875
244  -9.8	ZINC000654442300
245  -9.9	ZINC000575604844
246  -10.7	ZINC000003104663
247  -9.4	ZINC000003521304
248  -10.1	ZINC000001291821
249  -10.0	ZINC000575617584
250  -10.8	ZINC000003463877
251  -10.5	ZINC000127372273
252  -9.8	ZINC000005206997
253  -10.6	ZINC000012782825
254  -9.7	ZINC000011779781
255  -9.1	ZINC000003245446
256  -10.6	ZINC000018173721
257  -9.9	ZINC000003439549
258  -9.5	ZINC000032843018
259  -8.6	ZINC000096385920
260  -9.9	ZINC000012971410
261  -9.8	ZINC000005062290
262  -9.6	ZINC000008310576
263  -9.2	ZINC000005109042
264  -10.3	ZINC000004934657
265  -10.3	ZINC000004328177
266  -8.5	ZINC000004594511
267  -10.1	ZINC000033268370
268  -9.5	ZINC000159349833
269  -10.0	ZINC000015674395
270  -8.5	ZINC000071749843
271  -10.0	ZINC000015859912
272  -9.5	ZINC000048332793
273  -8.5	ZINC000004451109
274  -9.2	ZINC000004389664
275  -7.3	ZINC000034708629
276  -9.6	ZINC000198148791
277  -10.6	ZINC000065250344
278  -10.4	ZINC000004303485
279  -10.7	ZINC000575606907
280  -10.6	ZINC000024762725
281  -9.8	ZINC000040141324
282  -9.4	ZINC000037544777
283  -10.2	ZINC000002414640
284  -10.1	ZINC000007983566
285  -8.3	ZINC000002806745
286  -11.1	ZINC000067771044
287  -9.9	ZINC000072115672
288  -11.2	ZINC000065137963
289  -10.7	ZINC000426442010
290  -9.4	ZINC000005007691
291  -10.5	ZINC000334163587
292  -9.9	ZINC000170625874
293  -9.8	ZINC000095365154
294  -9.1	ZINC000007554881
295  -10.8	ZINC000005341825
296  -9.1	ZINC000067881144
297  -9.4	ZINC000058174661
298  -9.6	ZINC000021282287
299  -10.1	ZINC000013724125
300  -9.9	ZINC000065284955
301  -9.8	ZINC000090610621
302  -10.7	ZINC000058162604
303  -10.0	ZINC000007653744
304  -10.6	ZINC000012734854
305  -10.6	ZINC000014201275
306  -11.1	ZINC000014121589
307  -9.9	ZINC000006286188
308  -10.2	ZINC000096400099
309  -10.9	ZINC000013014727
310  -10.7	ZINC000007835379
311  -9.3	ZINC000009748094
312  -9.1	ZINC000206804008
313  -9.7	ZINC000133570452
314  -11.0	ZINC000007286607
315  -9.5	ZINC000006752705
316  -9.9	ZINC000012343281
317  -8.6	ZINC000029528709
318  -9.4	ZINC000103717383
319  -8.4	ZINC000055308525
320  -9.1	ZINC000018357933
321  -8.1	ZINC000090610327
322  -10.3	ZINC000104055542
323  -8.8	ZINC000012419218
324  -9.6	ZINC000003555655
325  -10.3	ZINC000026127133
326  -12.2	ZINC000408694261
327  -9.4	ZINC000495642573
328  -11.0	ZINC000820908873
329  -9.3	ZINC000897717932
330  -8.7	ZINC000945027668
331  -9.6	ZINC000961928838
332  -8.5	ZINC000964969908
333  -8.7	ZINC000967355434
334  -8.3	ZINC000983133328
335  -9.2	ZINC001024207112
336  -8.8	ZINC001025095427
337  -8.4	ZINC001077101827
338  -10.0	ZINC001077263415
339  -8.2	ZINC001083708197
340  -9.7	ZINC001101737391
341  -9.7	ZINC001103388505
342  -9.3	ZINC001129619015
343  -8.8	ZINC001129633109
344  -9.9	ZINC001129985087
345  -9.2	ZINC001136783964
346  -9.3	ZINC001192925298
347  -10.3	ZINC001196199944
348  -8.8	ZINC001198688470
349  -8.6	ZINC001212507608
350  -8.1	ZINC001219617472
351  -9.9	ZINC001221910478
352  -8.6	ZINC001271163285
353  -8.1	ZINC001273364644
354  -10.0	ZINC000049003935
355  -10.3	ZINC000001135573
356  -8.5	ZINC001231264871
357  -9.4	ZINC000491855918
358  -8.4	ZINC000610922377
359  -9.3	ZINC000474340474
360  -9.2	ZINC000854570036
361  -9.1	ZINC001318253836
362  -7.1	ZINC001591791078
363  -9.4	ZINC000104689646
364  -8.6	ZINC000106868037
365  -8.8	ZINC001191663381
366  -10.7	ZINC001357618206
367  -9.5	ZINC000076691256
368  -9.8	ZINC000859829887
369  -9.1	ZINC000289790248
370  -9.0	ZINC000177827922
371  -9.1	ZINC000842311358
372  -9.4	ZINC000295423542
373  -9.0	ZINC000458919099
374  -8.6	ZINC000562608190
375  -10.0	ZINC000466917172
376  -8.4	ZINC000474300500
377  -8.7	ZINC000566884676
378  -8.9	ZINC001254603012
379  -9.1	ZINC001452638500
380  -8.4	ZINC001173188837
381  -7.3	ZINC000880304497
382  -8.3	ZINC001563388361
383  -7.9	ZINC000367288988
384  -8.9	ZINC000751554260
385  -8.9	ZINC000853572713
386  -9.7	ZINC000597408010
387  -8.8	ZINC000769878104
388  -8.7	ZINC000189417483
389  -9.1	ZINC000603400538
390  -9.7	ZINC001589877017
391  -8.4	ZINC000462506350
392  -7.5	ZINC000507363384
393  -8.3	ZINC000902556589
394  -9.3	ZINC000615835204
395  -9.8	ZINC000867986161
396  -9.1	ZINC000918395817
397  -8.7	ZINC000507365802
398  -8.6	ZINC000802138836
399  -10.5	ZINC000878336205
400  -8.7	ZINC000840189965
401  -9.0	ZINC000457042698
402  -9.5	ZINC000513202154
403  -8.5	ZINC000153698803
404  -8.6	ZINC000506488253
405  -9.9	ZINC000153891055
406  -8.7	ZINC000269143289
407  -9.7	ZINC000487546950
408  -8.6	ZINC001133114519
409  -9.0	ZINC000468193654
410  -8.7	ZINC000611513987
411  -8.9	ZINC000815010283
412  -9.4	ZINC000543842915
413  -9.0	ZINC000596238903
414  -8.8	ZINC001165205358
415  -11.4	ZINC001218979118
416  -7.4	ZINC000832632531
417  -9.3	ZINC000789596145
418  -6.6	ZINC001438905730
419  -8.5	ZINC000369494367
420  -9.3	ZINC001169036995
421  -7.8	ZINC000420944451
422  -10.4	ZINC000878336204
423  -8.4	ZINC000594987094
424  -8.3	ZINC001251529398
425  -9.8	ZINC000286735456
426  -8.9	ZINC000184289098
427  -9.5	ZINC000396399712
428  -8.3	ZINC001559626971
429  -7.2	ZINC000593653213
430  -7.7	ZINC001128589076
431  -8.6	ZINC000808337506
432  -9.2	ZINC000133011101
433  -8.2	ZINC000095940918
434  -10.4	ZINC000020568651
435  -10.4	ZINC000534581849
436  -8.0	ZINC000072268720
437  -9.9	ZINC000236890298
438  -8.8	ZINC000952988902
439  -9.9	ZINC000067834185
440  -9.9	ZINC000035622540
441  -9.9	ZINC000092176293
442  -9.5	ZINC000585141031
443  -8.9	ZINC000008204683
444  -8.6	ZINC000003165589
445  -8.3	ZINC000013328284
446  -9.4	ZINC000108324250
447  -8.9	ZINC000097106964
448  -9.3	ZINC000952977991
449  -8.5	ZINC000069590533
450  -8.2	ZINC000193363000
451  -8.5	ZINC000194016692
452  -8.7	ZINC000253598637
453  -7.5	ZINC000065371803
454  -9.9	ZINC000048871440
